Date,Adj Close,Close,High,Low,Open,Volume
2023-11-03 00:00:00+00:00,,,,,,
2023-11-06 00:00:00+00:00,,,,,,
2023-11-07 00:00:00+00:00,,,,,,
2023-11-08 00:00:00+00:00,,,,,,
2023-11-09 00:00:00+00:00,,,,,,
2023-11-10 00:00:00+00:00,,,,,,
2023-11-13 00:00:00+00:00,,,,,,
2023-11-14 00:00:00+00:00,,,,,,
2023-11-15 00:00:00+00:00,,,,,,
2023-11-16 00:00:00+00:00,,,,,,
2023-11-17 00:00:00+00:00,,,,,,
2023-11-20 00:00:00+00:00,,,,,,
2023-11-21 00:00:00+00:00,,,,,,
2023-11-22 00:00:00+00:00,,,,,,
2023-11-24 00:00:00+00:00,,,,,,
2023-11-27 00:00:00+00:00,,,,,,
2023-11-28 00:00:00+00:00,,,,,,
2023-11-29 00:00:00+00:00,,,,,,
2023-11-30 00:00:00+00:00,,,,,,
2023-12-01 00:00:00+00:00,,,,,,
2023-12-04 00:00:00+00:00,,,,,,
2023-12-05 00:00:00+00:00,,,,,,
2023-12-06 00:00:00+00:00,,,,,,
2023-12-07 00:00:00+00:00,,,,,,
2023-12-08 00:00:00+00:00,,,,,,
2023-12-11 00:00:00+00:00,,,,,,
2023-12-12 00:00:00+00:00,,,,,,
2023-12-13 00:00:00+00:00,,,,,,
2023-12-14 00:00:00+00:00,,,,,,
2023-12-15 00:00:00+00:00,0.1466844619440293,0.14521740599469318,0.13767426872942423,0.1275592152488926,0.12128033730485964,4.307118627302948
2023-12-18 00:00:00+00:00,0.14873368976446913,0.1472783267004092,0.14006825672132125,0.1289489503672189,0.12127825377191408,4.960983821595191
2023-12-19 00:00:00+00:00,0.14516927242420952,0.1436534310998069,0.1361198199327083,0.12396948131921738,0.11910077445523898,5.001766601016706
2023-12-20 00:00:00+00:00,0.14663304983610678,0.14506644127948431,0.12997032058354574,0.12117769417132668,0.11335322131926068,5.05015880831706
2023-12-21 00:00:00+00:00,0.1465103544773044,0.14492495498202354,0.13070719013030443,0.11906198055620944,0.10661019643026903,4.953628355063422
2023-12-22 00:00:00+00:00,0.14758093271572956,0.1459995472534132,0.13438760308724154,0.11987224608739816,0.10854003607498867,4.987483274261955
2023-12-26 00:00:00+00:00,0.13412111276017114,0.13412122620280287,0.13292248336520368,0.11799878524237291,0.11198060769258586,4.988567712652694
2023-12-27 00:00:00+00:00,0.1309016630475425,0.13090179893330448,0.13270510682370074,0.12180777981649023,0.11116421895250611,5.081791464241989
2023-12-28 00:00:00+00:00,0.12527816841445186,0.12527824344798577,0.13021665811446584,0.12148747094083703,0.11018435354110696,5.086932607863361
2023-12-29 00:00:00+00:00,0.1265266760597189,0.12652678209007076,0.1290406121881054,0.12229455748188847,0.11039442652712109,5.1270224005256235
2024-01-02 00:00:00+00:00,0.16392878357216098,0.16392871883946147,0.15717075661419935,0.17278170677287,0.15039138714582603,5.480643527278448
2024-01-03 00:00:00+00:00,0.1650890322855263,0.1650889865998086,0.16165834785261154,0.17284216058706856,0.156260068163156,5.5748379561845605
2024-01-04 00:00:00+00:00,0.16559374526793244,0.16559361923434593,0.16458656608396,0.17521176849108047,0.15904252859776608,5.597905674872208
2024-01-05 00:00:00+00:00,0.16556585099151835,0.16556572259040733,0.16458225440171806,0.1753168751391588,0.1565656115989818,5.582211792135297
2024-01-08 00:00:00+00:00,0.18095296747815004,0.18095293851839997,0.16995982417968622,0.17597990666244628,0.1565813904073113,5.585271095578675
2024-01-09 00:00:00+00:00,0.18010245655774565,0.18010245023816082,0.1677167996081021,0.17645524036164853,0.16009568514086292,5.466554192348099
2024-01-10 00:00:00+00:00,0.18108807328269008,0.18108808824145384,0.16921007340824887,0.1778260399716079,0.16001103389630325,5.260117650639961
2024-01-11 00:00:00+00:00,0.18086052038723952,0.18086055084577932,0.16945274775642935,0.17751919166808264,0.16426035626519048,5.258553802810856
2024-01-12 00:00:00+00:00,0.18048267663432258,0.18048269451701082,0.16851452297445993,0.1796052145224112,0.1631966437233233,5.280762540105006
2024-01-16 00:00:00+00:00,0.18328595614038634,0.1832859391276445,0.1706854696856194,0.1910119573395662,0.17309037914439274,5.4549968574877274
2024-01-17 00:00:00+00:00,0.18208154046128258,0.18208155121844302,0.17003195645517988,0.18999686613531394,0.17296229839338179,5.5382226899416915
2024-01-18 00:00:00+00:00,0.20468742346092722,0.20468743844208098,0.196621462724193,0.20954312982240075,0.19088202945614674,5.7202463384771685
2024-01-19 00:00:00+00:00,0.20040950395342913,0.20040956327695564,0.18989362397460904,0.21050550243378857,0.1978131073022636,5.600080657371836
2024-01-22 00:00:00+00:00,0.2028776499931034,0.20287772902894352,0.19677821238553522,0.2151135913834645,0.19230759640030404,5.426264256302872
2024-01-23 00:00:00+00:00,0.2016677902614007,0.2016678603381035,0.19684201677490962,0.21525931396977538,0.19637278372200306,5.510761163706264
2024-01-24 00:00:00+00:00,0.2007411642879509,0.20074119812139385,0.19651151596672375,0.2153882046391696,0.19628329526210084,5.544110410221338
2024-01-25 00:00:00+00:00,0.19711535473260794,0.1971153824254186,0.19269034089378578,0.21339360497595716,0.19554565091030532,5.530407253675841
2024-01-26 00:00:00+00:00,0.19746631783747792,0.19746635852840166,0.1932819182608175,0.21414584357566804,0.1961324728686223,5.546837607734291
2024-01-29 00:00:00+00:00,0.19096669349350096,0.19096669695035626,0.19025897143909315,0.21140541351768086,0.19663003209714217,5.479647302515499
2024-01-30 00:00:00+00:00,0.198123533964378,0.19812346310719275,0.18828878163585663,0.21216427354089312,0.19155439627848606,5.503650979911708
2024-01-31 00:00:00+00:00,0.20473959444303882,0.2047396008603784,0.199853305168429,0.21591990824754628,0.1996545577639961,5.138482696320534
2024-02-01 00:00:00+00:00,0.20867217456919868,0.2086721659425191,0.19876369519193904,0.21334972252572823,0.20355115109511573,4.558852151578567
2024-02-02 00:00:00+00:00,0.20790162542353388,0.20790162703593978,0.19882566189298018,0.22166429020115402,0.21190998108576614,4.637058328799543
2024-02-05 00:00:00+00:00,0.20884737561706906,0.20884735395841345,0.201227565921173,0.24868198415512544,0.25299823956870715,4.741495482286395
2024-02-06 00:00:00+00:00,0.21078760822692133,0.21078757464090392,0.2012326888541541,0.2488674319512742,0.2533754783875716,4.931052964723101
2024-02-07 00:00:00+00:00,0.21036695299208116,0.21036689637250153,0.2022718371050292,0.25083155217382275,0.26078072561705723,4.920115757245128
2024-02-08 00:00:00+00:00,0.21079322630910313,0.21079317095412972,0.20231042065896096,0.2514215977287557,0.2604527030099981,4.927813355993742
2024-02-09 00:00:00+00:00,0.2112441340262044,0.2110248524674135,0.2024727531567304,0.2505331257230579,0.26019102623167223,4.706674707555531
2024-02-12 00:00:00+00:00,0.21240591564440545,0.2121682287649489,0.20229011909566025,0.24871856981127055,0.258723411793276,4.599859370156508
2024-02-13 00:00:00+00:00,0.2141382518377728,0.2138922916952627,0.20530189054198764,0.2527295490533022,0.26152530115102274,4.637144985073022
2024-02-14 00:00:00+00:00,0.18689724097737784,0.186678083947447,0.18521954023998166,0.22262192478313225,0.24091647454676884,4.2071878196267924
2024-02-15 00:00:00+00:00,0.18567293409040903,0.18546414412021467,0.18168349618292265,0.2231558463866086,0.23812074515550463,4.122376853468538
2024-02-16 00:00:00+00:00,0.1835058249834893,0.18330326996763807,0.17619370037534124,0.21944184739486847,0.2357670244519144,4.15163811033522
2024-02-20 00:00:00+00:00,0.18352590020982354,0.18332315582506645,0.18041784135352207,0.22083172034880597,0.23724548323023353,4.139964901976157
